category_name,category_id
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,1
Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,2
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",3
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",4
"Electronics|HomeTheater,TV&Video|Accessories|RemoteControls",5
"Electronics|HomeTheater,TV&Video|Televisions|StandardTelevisions",6
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",7
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",8
Electronics|HomeAudio|Accessories|SpeakerAccessories|Mounts,9
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",10
"Electronics|HomeTheater,TV&Video|Projectors",11
Electronics|HomeAudio|Accessories|Adapters,12
"Electronics|HomeTheater,TV&Video|SatelliteEquipment|SatelliteReceivers",13
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|DVICables,14
"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",15
Electronics|HomeAudio|MediaStreamingDevices|StreamingClients,16
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",17
Electronics|HomeAudio|Speakers|TowerSpeakers,18
"Electronics|HomeTheater,TV&Video|Accessories|3DGlasses",19
Electronics|WearableTechnology|SmartWatches,20
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,21
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,22
Electronics|Accessories|MemoryCards|MicroSD,23
Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,24
"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",25
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,26
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,27
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,28
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters,29
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,30
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,31
Electronics|Mobiles&Accessories|MobileAccessories|Stands,32
Computers&Accessories|Accessories&Peripherals|Cables&Accessories|CableConnectionProtectors,33
Electronics|Mobiles&Accessories|MobileAccessories|Décor,34
"Electronics|Mobiles&Accessories|MobileAccessories|Maintenance,Upkeep&Repairs|ScreenProtectors",35
Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,36
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,37
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,38
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,39
"Electronics|Headphones,Earbuds&Accessories|Headphones|On-Ear",40
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CameraPrivacyCovers,41
"Electronics|Headphones,Earbuds&Accessories|Adapters",42
Electronics|Mobiles&Accessories|MobileAccessories|Décor|PhoneCharms,43
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts,44
Computers&Accessories|ExternalDevices&DataStorage|PenDrives,45
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",46
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",47
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,48
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,49
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboards",50
MusicalInstruments|Microphones|Condenser,51
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,52
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",53
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,54
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",55
Computers&Accessories|ExternalDevices&DataStorage|ExternalHardDisks,56
Electronics|Cameras&Photography|VideoCameras,57
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,58
OfficeProducts|OfficeElectronics|Calculators|Scientific,59
Computers&Accessories|NetworkingDevices|Repeaters&Extenders,60
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,61
